
2022/07/24 (22:02:17) | ===> btop++ v.1.2.8
2022/07/24 (22:02:17) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:02:23) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:02:29) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:02:35) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:02:41) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:02:47) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:02:53) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:02:59) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:03:05) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:03:11) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:03:17) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:03:23) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:03:29) | ERROR: Stall in Runner thread, restarting!
2022/07/24 (22:03:35) | ERROR: Stall in Runner thread, restarting!

2022/09/18 (04:25:58) | ===> btop++ v.1.2.9
2022/09/18 (04:25:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/21 (13:40:34) | ===> btop++ v.1.2.9
2022/09/21 (13:40:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/22 (11:43:15) | ===> btop++ v.1.2.9
2022/09/22 (11:43:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/24 (12:44:06) | ===> btop++ v.1.2.9
2022/09/24 (12:44:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/25 (11:25:58) | ===> btop++ v.1.2.9
2022/09/25 (11:25:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/26 (22:46:49) | ===> btop++ v.1.2.9
2022/09/26 (22:46:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/28 (16:54:29) | ===> btop++ v.1.2.9
2022/09/28 (16:54:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/13 (20:06:22) | ===> btop++ v.1.2.12
2022/10/13 (20:06:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/20 (18:39:59) | ===> btop++ v.1.2.12
2022/10/20 (18:39:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/20 (18:40:18) | ===> btop++ v.1.2.12
2022/10/20 (18:40:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (01:10:07) | ===> btop++ v.1.2.12
2022/10/22 (01:10:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (01:11:46) | ===> btop++ v.1.2.12
2022/10/22 (01:11:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/22 (11:14:30) | ===> btop++ v.1.3.2
2024/04/22 (11:14:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/22 (11:14:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/22 (11:14:30) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/04/22 (11:14:45) | ===> btop++ v.1.3.2
2024/04/22 (11:14:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/22 (11:14:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/22 (11:14:45) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/04/22 (11:21:21) | ===> btop++ v.1.3.2
2024/04/22 (11:21:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/22 (11:21:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/22 (11:21:21) | WARNING: ROCm SMI: Failed to get GPU power usage
